datetime,close,open,high,low,volume
2022-03-01,1469,1499,1500,1469,146200
2022-03-02,1451,1459,1467,1451,108200
2022-03-03,1464,1463,1474,1457,85800
2022-03-04,1455,1465,1476,1454,81900
2022-03-07,1442,1448,1458,1435,130200
2022-03-08,1415,1436,1443,1403,135000
2022-03-09,1411,1415,1421,1406,95000
2022-03-10,1446,1427,1448,1422,134600
2022-03-11,1438,1428,1442,1425,85400
2022-03-14,1441,1448,1455,1438,69200
2022-03-15,1457,1455,1461,1445,75900
2022-03-16,1448,1457,1461,1446,105200
2022-03-17,1462,1468,1471,1451,101900
2022-03-18,1464,1466,1471,1456,121900
2022-03-22,1484,1485,1489,1473,103300
2022-03-23,1488,1484,1494,1478,115200
2022-03-24,1475,1476,1478,1465,145600
2022-03-25,1465,1484,1484,1463,127200
2022-03-28,1470,1478,1478,1464,116900
2022-03-29,1470,1462,1470,1456,179900
2022-03-30,1426,1440,1440,1413,130800
2022-03-31,1398,1413,1418,1398,156000
2022-04-01,1426,1405,1426,1397,128000
2022-04-04,1434,1426,1436,1424,83400
2022-04-05,1431,1440,1445,1430,127100
2022-04-06,1411,1430,1435,1409,77400
2022-04-07,1400,1407,1408,1393,114300
2022-04-08,1416,1418,1422,1409,115100
2022-04-11,1414,1415,1426,1406,137300
2022-04-12,1403,1412,1423,1402,119000
2022-04-13,1416,1412,1419,1410,136500
2022-04-14,1430,1424,1433,1420,76400
2022-04-15,1412,1420,1427,1412,61600
2022-04-18,1412,1402,1416,1398,81000
2022-04-19,1413,1413,1418,1403,53200
2022-04-20,1423,1426,1431,1419,82500
2022-04-21,1432,1426,1434,1425,87700
2022-04-22,1444,1422,1444,1422,99600
2022-04-25,1436,1430,1439,1421,109300
2022-04-26,1430,1438,1443,1430,86100
2022-04-27,1419,1426,1435,1419,186800
2022-04-28,1469,1429,1469,1429,170600
2022-05-02,1474,1460,1474,1449,132400
2022-05-06,1482,1479,1483,1470,112100
2022-05-09,1490,1485,1498,1480,104300
2022-05-10,1496,1488,1497,1480,127700
2022-05-11,1475,1482,1490,1465,100400
2022-05-12,1476,1484,1486,1472,82600
2022-05-13,1486,1465,1486,1461,80300
2022-05-16,1496,1488,1515,1484,176500
2022-05-17,1475,1499,1504,1473,118600
2022-05-18,1481,1466,1482,1465,85000
2022-05-19,1484,1459,1485,1456,77100
2022-05-20,1472,1488,1492,1466,153500
2022-05-23,1476,1482,1483,1464,99200
2022-05-24,1457,1472,1472,1453,86000
2022-05-25,1467,1460,1476,1455,122200
2022-05-26,1462,1458,1467,1456,134000
2022-05-27,1423,1463,1463,1423,289800
2022-05-30,1431,1433,1445,1421,333300
2022-05-31,1448,1440,1449,1415,726900
